MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02001195,7449,454,0.060947778
E02001196,7547,382,0.050616139
E02001197,6225,376,0.060401606
E02001198,7545,524,0.069449967
E02001199,7806,532,0.068152703
E02001200,6421,775,0.120697711
E02001201,5784,361,0.062413555
E02001202,6094,624,0.102395799
E02001203,5796,314,0.054175293
E02001204,8938,567,0.063437011
E02001205,7783,629,0.080817166
E02001206,7003,453,0.064686563
E02001207,7013,393,0.056038785
E02001208,7222,571,0.079063971
E02001209,7734,684,0.088440652
E02001210,6901,416,0.060281119
E02001211,6010,404,0.067221298
E02001212,6492,423,0.065157116
E02001213,9129,682,0.074706978
E02001214,7452,435,0.058373591
E02001215,5804,350,0.060303239
E02001216,7310,441,0.060328317
E02001217,6581,572,0.086916882
E02001218,5860,352,0.060068259
E02001219,5455,254,0.046562786
E02001220,5536,325,0.058706647
E02001221,6003,320,0.05330668
E02001222,6206,322,0.051885272
E02001223,6893,413,0.059915857
E02001224,5816,277,0.047627235
E02001225,7078,457,0.064566262
E02001226,6810,430,0.063142438
E02001227,5699,309,0.054220039
E02001228,5411,301,0.055627426
E02001229,9731,725,0.074504162
E02001230,6147,320,0.052057914
E02001231,7150,379,0.053006993
E02001232,8211,637,0.077578858
E02001233,7541,427,0.05662379
E02001234,7615,579,0.076034143
E02001235,6559,559,0.085226406
E02001236,5734,450,0.078479247
E02001237,6855,591,0.086214442
E02001238,7773,415,0.05338994
E02001239,9077,584,0.064338438
E02001240,6184,378,0.061125485
E02001241,9483,862,0.090899504
E02001242,5707,436,0.076397407
E02001243,7872,520,0.066056911
E02001244,5511,310,0.056251134
E02001245,7848,592,0.075433231
E02001246,7289,505,0.06928248
E02001247,6926,529,0.076378862
E02001248,10258,927,0.090368493
E02001249,6269,537,0.085659595
E02001250,6514,352,0.054037458
E02001251,6021,370,0.061451586
E02001252,7491,360,0.048057669
E02001253,5189,383,0.073809983
E02001254,5823,287,0.049287309
E02001255,6071,307,0.050568275
